Time,r6in.8xlarge
2024-05-28T05:00:00Z,18.18426582
2024-05-28T06:00:00Z,18.18428184
2024-05-28T07:00:00Z,18.18426582
2024-05-28T08:00:00Z,18.18426582
2024-05-28T09:00:00Z,18.18426582
2024-05-28T10:00:00Z,18.18426582
2024-05-28T11:00:00Z,18.18426582
2024-05-28T12:00:00Z,18.18426582
2024-05-28T13:00:00Z,18.18427818
2024-05-28T14:00:00Z,18.1839222
2024-05-28T15:00:00Z,17.9906468
2024-05-28T16:00:00Z,17.96454855
2024-05-28T17:00:00Z,17.9906468
2024-05-28T18:00:00Z,17.99069937
2024-05-28T19:00:00Z,17.9906468
2024-05-28T20:00:00Z,17.9906468
2024-05-28T21:00:00Z,17.9906468
2024-05-28T22:00:00Z,17.99066382
2024-05-28T23:00:00Z,17.99065826
2024-05-29T00:00:00Z,18.01674989
2024-05-29T01:00:00Z,18.01674506
2024-05-29T02:00:00Z,18.18427369
2024-05-29T03:00:00Z,18.18426582
2024-05-29T04:00:00Z,18.18426582
2024-05-29T05:00:00Z,18.18426582
2024-05-29T06:00:00Z,18.18428293
2024-05-29T07:00:00Z,18.18426582
2024-05-29T08:00:00Z,18.18426582
2024-05-29T09:00:00Z,18.18427032
2024-05-29T10:00:00Z,18.18426582
2024-05-29T11:00:00Z,18.18426582
2024-05-29T12:00:00Z,18.18426582
2024-05-29T13:00:00Z,18.18426582
2024-05-29T14:00:00Z,18.18411176
2024-05-29T15:00:00Z,17.99066365
2024-05-29T16:00:00Z,17.9906468
2024-05-29T17:00:00Z,17.9906468
2024-05-29T18:00:00Z,17.99070008
2024-05-29T19:00:00Z,17.9906468
2024-05-29T20:00:00Z,17.9906468
2024-05-29T21:00:00Z,17.99092153
2024-05-29T22:00:00Z,17.99066375
2024-05-29T23:00:00Z,17.9906468
2024-05-30T00:00:00Z,18.0167495
2024-05-30T01:00:00Z,18.01674506
2024-05-30T02:00:00Z,18.18426582
2024-05-30T03:00:00Z,18.18426582
2024-05-30T04:00:00Z,18.18426582
2024-05-30T05:00:00Z,18.18426582
2024-05-30T06:00:00Z,18.18426582
2024-05-30T07:00:00Z,18.18428404
2024-05-30T08:00:00Z,18.18426582
2024-05-30T09:00:00Z,18.18426582
2024-05-30T10:00:00Z,18.18426582
2024-05-30T11:00:00Z,18.18426582
2024-05-30T12:00:00Z,31.84827527
2024-05-30T13:00:00Z,31.84827527
2024-05-30T14:00:00Z,31.84824627
2024-05-30T15:00:00Z,31.65467382
2024-05-30T16:00:00Z,31.65465625
2024-05-30T17:00:00Z,31.65466481
2024-05-30T18:00:00Z,31.65470917
2024-05-30T19:00:00Z,31.65465625
2024-05-30T20:00:00Z,31.65465625
2024-05-30T21:00:00Z,31.65465625
2024-05-30T22:00:00Z,31.65465625
2024-05-30T23:00:00Z,31.65467417
2024-05-31T00:00:00Z,31.68075494
2024-05-31T01:00:00Z,31.68075451
2024-05-31T02:00:00Z,31.84827527
2024-05-31T03:00:00Z,31.84827527
2024-05-31T04:00:00Z,31.79607875
2024-05-31T05:00:00Z,31.84827527
2024-05-31T06:00:00Z,31.84827527
2024-05-31T07:00:00Z,31.84828979
2024-05-31T08:00:00Z,31.84827527
2024-05-31T09:00:00Z,31.84827527
2024-05-31T10:00:00Z,31.84827527
2024-05-31T11:00:00Z,13.82128633
2024-05-31T12:00:00Z,8.523155266
2024-05-31T13:00:00Z,8.523155266
2024-05-31T14:00:00Z,8.522721953
2024-05-31T15:00:00Z,8.328130929
2024-05-31T16:00:00Z,8.367053733
2024-05-31T17:00:00Z,8.329536252
2024-05-31T18:00:00Z,8.329590002
2024-05-31T19:00:00Z,8.329536252
2024-05-31T20:00:00Z,8.329536252
2024-05-31T21:00:00Z,8.329536252
2024-05-31T22:00:00Z,8.329536252
2024-05-31T23:00:00Z,8.329553909
2024-06-01T00:00:00Z,8.35563451
2024-06-01T01:00:00Z,8.35563451
2024-06-01T02:00:00Z,8.523155266
2024-06-01T03:00:00Z,22.18716471
2024-06-01T04:00:00Z,22.18716471
2024-06-01T05:00:00Z,22.18716471
2024-06-01T06:00:00Z,22.18716471
2024-06-01T07:00:00Z,25.65373757
2024-06-01T08:00:00Z,25.65373757
2024-06-01T09:00:00Z,25.65373757
2024-06-01T10:00:00Z,25.65373757
2024-06-01T11:00:00Z,25.65373757
2024-06-01T12:00:00Z,25.65373757
2024-06-01T13:00:00Z,25.65373757
2024-06-01T14:00:00Z,25.65373757
2024-06-01T15:00:00Z,25.65373757
2024-06-01T16:00:00Z,25.65373757
2024-06-01T17:00:00Z,25.65373757
2024-06-01T18:00:00Z,25.65373757
2024-06-01T19:00:00Z,25.65373757
2024-06-01T20:00:00Z,25.65373757
2024-06-01T21:00:00Z,25.65373757
2024-06-01T22:00:00Z,25.65373757
2024-06-01T23:00:00Z,25.65373757
2024-06-02T00:00:00Z,25.65373757
2024-06-02T01:00:00Z,25.65373757
2024-06-02T02:00:00Z,25.65373757
2024-06-02T03:00:00Z,25.65373757
2024-06-02T04:00:00Z,25.65373757
